order_item_id,order_id,product_id,quantity,unit_price
1,1,15,3,22.99
2,1,10,3,27.99
3,1,14,1,219.99
4,1,5,3,49.99
5,2,9,1,21.99
6,2,3,1,29.99
7,3,1,2,19.99
8,3,14,3,219.99
9,4,8,2,89.99
10,5,8,2,89.99
11,6,4,2,39.99
12,6,8,1,89.99
13,6,5,1,49.99
14,6,15,1,22.99
15,7,15,3,22.99
16,7,4,2,39.99
17,7,18,3,18.99
18,8,15,2,22.99
19,8,3,3,29.99
20,8,2,2,74.99
21,8,18,3,18.99
22,9,1,3,19.99
23,9,9,1,21.99
24,10,17,3,15.99
25,10,15,2,22.99
26,10,9,3,21.99
27,10,3,2,29.99
28,11,11,1,9.99
29,11,18,2,18.99
30,11,4,2,39.99
31,11,14,3,219.99
32,12,15,1,22.99
33,13,13,3,149.99
34,14,14,2,219.99
35,14,2,3,74.99
36,14,7,2,24.99
37,14,9,3,21.99
38,15,9,2,21.99
39,15,5,2,49.99
40,16,8,3,89.99
41,17,18,2,18.99
42,18,4,3,39.99
43,18,5,2,49.99
44,18,16,3,12.99
45,18,15,3,22.99
46,19,8,1,89.99
47,19,15,3,22.99
48,19,5,3,49.99
49,19,7,3,24.99
50,20,14,1,219.99
51,20,11,2,9.99
52,20,9,3,21.99
53,21,5,2,49.99
54,21,15,3,22.99
55,21,16,3,12.99
56,21,6,2,34.99
57,22,13,2,149.99
58,22,8,1,89.99
59,23,13,1,149.99
60,23,5,3,49.99
61,23,16,3,12.99
62,23,1,2,19.99
63,24,17,2,15.99
64,25,5,2,49.99
65,25,3,2,29.99
66,25,16,3,12.99
67,25,13,3,149.99
68,26,18,3,18.99
69,26,13,3,149.99
70,26,11,2,9.99
71,27,8,3,89.99
72,28,3,1,29.99
73,28,14,3,219.99
74,29,6,2,34.99
75,29,10,1,27.99
76,29,1,2,19.99
77,29,16,2,12.99
78,30,17,3,15.99
79,30,14,3,219.99
80,31,13,3,149.99
81,32,8,3,89.99
82,32,15,2,22.99
83,33,10,2,27.99
84,33,6,3,34.99
85,33,3,2,29.99
86,33,8,3,89.99
87,34,10,2,27.99
88,34,7,1,24.99
89,34,13,1,149.99
90,34,14,2,219.99
91,35,10,2,27.99
92,35,1,1,19.99
93,35,13,3,149.99
94,36,10,3,27.99
95,36,8,1,89.99
96,36,12,3,14.99
97,36,4,2,39.99
98,37,2,2,74.99
99,38,5,2,49.99
100,38,3,3,29.99
101,38,10,2,27.99
102,39,17,1,15.99
103,39,18,2,18.99
104,39,9,2,21.99
105,40,15,1,22.99
106,41,18,2,18.99
107,41,12,1,14.99
108,41,3,2,29.99
109,41,13,3,149.99
110,42,13,3,149.99
111,42,12,1,14.99
112,42,4,2,39.99
113,43,8,3,89.99
114,43,3,2,29.99
115,43,15,3,22.99
116,44,2,2,74.99
117,45,18,2,18.99
118,45,5,2,49.99
119,46,5,2,49.99
120,46,14,3,219.99
121,46,4,2,39.99
122,46,17,2,15.99
123,47,15,1,22.99
124,47,18,2,18.99
125,48,2,1,74.99
126,48,13,1,149.99
127,48,9,2,21.99
128,49,2,2,74.99
129,50,3,3,29.99
130,50,7,1,24.99
131,51,9,1,21.99
132,52,4,1,39.99
133,52,1,1,19.99
134,53,1,1,19.99
135,53,6,1,34.99
136,53,9,3,21.99
137,54,16,2,12.99
138,55,15,3,22.99
139,56,15,2,22.99
140,56,1,2,19.99
141,56,2,2,74.99
142,57,3,1,29.99
143,57,18,1,18.99
144,57,11,1,9.99
145,57,10,2,27.99
146,58,13,2,149.99
147,58,17,3,15.99
148,58,10,3,27.99
149,59,14,1,219.99
150,59,15,2,22.99
151,60,14,2,219.99
152,60,4,3,39.99
153,60,11,2,9.99
154,60,7,2,24.99
155,61,3,1,29.99
156,62,5,3,49.99
157,62,2,1,74.99
158,62,11,2,9.99
159,63,10,3,27.99
160,64,5,1,49.99
161,64,16,1,12.99
162,65,4,2,39.99
163,65,9,3,21.99
164,65,8,3,89.99
165,66,9,1,21.99
166,67,12,1,14.99
167,67,1,3,19.99
168,67,6,3,34.99
169,68,3,3,29.99
170,69,15,2,22.99
171,69,11,3,9.99
172,69,6,2,34.99
173,69,16,3,12.99
174,70,6,3,34.99
175,70,2,1,74.99
176,71,15,3,22.99
177,71,14,1,219.99
178,71,9,2,21.99
179,71,4,2,39.99
180,72,17,2,15.99
181,72,10,3,27.99
182,72,2,1,74.99
183,72,4,1,39.99
184,73,9,2,21.99
185,73,10,1,27.99
186,74,5,3,49.99
187,74,13,3,149.99
188,75,3,2,29.99
189,75,13,1,149.99
190,75,2,2,74.99
191,76,13,2,149.99
192,76,14,1,219.99
193,76,10,2,27.99
194,76,2,1,74.99
195,77,14,1,219.99
196,78,17,2,15.99
197,78,3,3,29.99
198,78,13,2,149.99
199,78,14,1,219.99
200,79,17,3,15.99
201,80,12,3,14.99
202,80,18,3,18.99
203,81,9,1,21.99
204,81,7,3,24.99
205,82,16,3,12.99
206,82,15,3,22.99
207,83,11,1,9.99
208,83,5,2,49.99
209,83,15,2,22.99
210,84,12,3,14.99
211,85,2,2,74.99
212,85,18,1,18.99
213,85,12,3,14.99
214,85,14,1,219.99
215,86,15,3,22.99
216,86,2,3,74.99
217,86,18,1,18.99
218,86,16,2,12.99
219,87,2,1,74.99
