order_id,customer_id,order_date,status
1,199,2025-06-19,shipped
2,190,2024-04-11,completed
3,45,2025-07-19,completed
4,153,2025-04-26,completed
5,181,2024-10-16,shipped
6,161,2025-08-26,completed
7,43,2026-03-22,completed
8,104,2024-10-05,cancelled
9,65,2024-01-27,completed
10,196,2026-02-13,completed
11,24,2025-04-26,completed
12,127,2024-10-22,shipped
13,81,2024-09-15,completed
14,1,2025-11-04,cancelled
15,114,2026-02-17,completed
16,179,2025-05-11,completed
17,41,2024-11-14,cancelled
18,24,2024-08-18,completed
19,70,2025-03-01,shipped
20,35,2026-06-03,completed
21,77,2026-05-07,cancelled
22,117,2024-11-25,completed
23,82,2026-02-01,shipped
24,26,2026-06-14,shipped
25,4,2026-01-09,completed
26,102,2025-10-27,completed
27,139,2024-02-06,cancelled
28,176,2026-08-01,completed
29,181,2026-06-12,completed
30,96,2025-03-17,completed
31,47,2024-06-23,completed
32,175,2024-09-03,shipped
33,118,2024-09-18,completed
34,109,2025-12-07,completed
35,147,2025-01-02,cancelled
36,176,2026-03-07,completed
37,174,2026-02-12,completed
38,113,2024-02-04,cancelled
39,45,2024-07-24,completed
40,76,2026-02-03,completed
41,37,2026-02-11,completed
42,32,2025-04-10,completed
43,7,2025-09-26,cancelled
44,105,2024-04-29,completed
45,127,2024-04-28,completed
46,95,2025-11-17,cancelled
47,9,2025-12-07,completed
48,26,2025-12-03,completed
49,24,2025-11-09,completed
50,63,2024-05-08,cancelled
51,60,2024-12-02,completed
52,34,2025-07-07,completed
53,92,2026-03-19,completed
54,108,2025-06-22,completed
55,200,2025-01-05,cancelled
56,57,2025-09-21,completed
57,176,2024-04-20,shipped
58,160,2025-10-10,cancelled
59,111,2024-04-11,completed
60,87,2026-04-27,shipped
61,40,2025-12-04,shipped
62,24,2025-03-18,completed
63,91,2026-06-13,shipped
64,80,2024-12-26,completed
65,90,2026-05-15,cancelled
66,158,2025-11-22,cancelled
67,47,2024-10-06,completed
68,103,2024-03-12,completed
69,136,2024-08-08,shipped
70,153,2024-03-27,completed
71,70,2025-03-29,shipped
72,29,2024-10-17,cancelled
73,53,2024-11-04,completed
74,2,2025-05-24,shipped
75,59,2025-05-27,cancelled
76,20,2026-06-01,completed
77,159,2025-04-16,completed
78,63,2025-03-22,cancelled
79,86,2026-03-08,completed
