product_id,product_name,category,unit_price
1,Wireless Mouse,Electronics,19.99
2,Mechanical Keyboard,Electronics,74.99
3,USB-C Hub,Electronics,29.99
4,Webcam 1080p,Electronics,39.99
5,Bluetooth Speaker,Electronics,49.99
6,Laptop Stand,Electronics,34.99
7,French Press,Home & Kitchen,24.99
8,Air Fryer,Home & Kitchen,89.99
9,Cutting Board Set,Home & Kitchen,21.99
10,Electric Kettle,Home & Kitchen,27.99
11,Notebook 3-Pack,Office Supplies,9.99
12,Desk Organizer,Office Supplies,14.99
13,Ergonomic Chair,Office Supplies,149.99
14,Standing Desk,Office Supplies,219.99
15,Yoga Mat,Sports & Outdoors,22.99
16,Water Bottle 32oz,Sports & Outdoors,12.99
17,Resistance Bands,Sports & Outdoors,15.99
18,Running Shorts,Sports & Outdoors,18.99
